Perioden;Regio's;Gemiddelde verkoopprijs (euro)
2000;Achtkarspelen;133915
2001;Achtkarspelen;153585
2002;Achtkarspelen;153570
2003;Achtkarspelen;159611
2004;Achtkarspelen;176705
2005;Achtkarspelen;182002
2006;Achtkarspelen;201098
2007;Achtkarspelen;199191
2008;Achtkarspelen;214001
2009;Achtkarspelen;183043
2010;Achtkarspelen;188733
2011;Achtkarspelen;188124
2012;Achtkarspelen;178073
2013;Achtkarspelen;152525
2014;Achtkarspelen;155891
2015;Achtkarspelen;174264
2016;Achtkarspelen;179055
2017;Achtkarspelen;184383
2018;Achtkarspelen;211426
2019;Achtkarspelen;216483
2020;Achtkarspelen;241065
2021;Achtkarspelen;295024
2022;Achtkarspelen;305540
2023;Achtkarspelen;319773
2024;Achtkarspelen;336113
1995;Akersloot;125204
1996;Akersloot;131277
1997;Akersloot;137146
1998;Akersloot;146720
1999;Akersloot;171308
2000;Akersloot;219702
2001;Akersloot;273854
2002;Akersloot;
2003;Akersloot;
2004;Akersloot;
2005;Akersloot;
2006;Akersloot;
2007;Akersloot;
2008;Akersloot;
2009;Akersloot;
2010;Akersloot;
2011;Akersloot;
2012;Akersloot;
2013;Akersloot;
2014;Akersloot;
2015;Akersloot;
2016;Akersloot;
2017;Akersloot;
2018;Akersloot;
2019;Akersloot;
2020;Akersloot;
2021;Akersloot;
2022;Akersloot;
2023;Akersloot;
2024;Akersloot;
1995;Alblasserdam;76663
1996;Alblasserdam;97615
1997;Alblasserdam;102416
1998;Alblasserdam;110649
1999;Alblasserdam;133865
2000;Alblasserdam;146283
2001;Alblasserdam;172244
2002;Alblasserdam;182776
2003;Alblasserdam;197255
2004;Alblasserdam;204159
2005;Alblasserdam;203787
2006;Alblasserdam;209694
2007;Alblasserdam;225699
2008;Alblasserdam;226449
2009;Alblasserdam;221303
2010;Alblasserdam;229507
2011;Alblasserdam;223250
2012;Alblasserdam;212680
2013;Alblasserdam;190876
2014;Alblasserdam;204392
2015;Alblasserdam;210548
2016;Alblasserdam;213289
2017;Alblasserdam;233036
2018;Alblasserdam;263854
2019;Alblasserdam;268447
2020;Alblasserdam;292610
2021;Alblasserdam;332755
2022;Alblasserdam;368461
2023;Alblasserdam;359952
2024;Alblasserdam;358823
1995;Albrandswaard;116676
1996;Albrandswaard;130390
1997;Albrandswaard;150102
1998;Albrandswaard;147784
1999;Albrandswaard;156265
2000;Albrandswaard;184493
2001;Albrandswaard;242446
2002;Albrandswaard;241545
2003;Albrandswaard;245383
2004;Albrandswaard;253426
2005;Albrandswaard;273306
2006;Albrandswaard;303935
2007;Albrandswaard;291251
2008;Albrandswaard;300151
2009;Albrandswaard;289387
2010;Albrandswaard;283348
2011;Albrandswaard;266889
2012;Albrandswaard;287149
2013;Albrandswaard;246855
2014;Albrandswaard;264735
2015;Albrandswaard;267026
2016;Albrandswaard;290565
2017;Albrandswaard;326356
2018;Albrandswaard;351955
2019;Albrandswaard;361942
2020;Albrandswaard;375789
2021;Albrandswaard;452849
2022;Albrandswaard;493052
2023;Albrandswaard;468361
2024;Albrandswaard;547608
1995;Alkemade;118817
1996;Alkemade;140387
1997;Alkemade;154551
1998;Alkemade;175018
1999;Alkemade;185251
2000;Alkemade;234687
2001;Alkemade;254388
2002;Alkemade;277450
2003;Alkemade;291477
2004;Alkemade;240027
2005;Alkemade;239278
2006;Alkemade;318351
2007;Alkemade;271451
2008;Alkemade;320959
2009;Alkemade;
2010;Alkemade;
2011;Alkemade;
2012;Alkemade;
2013;Alkemade;
2014;Alkemade;
2015;Alkemade;
2016;Alkemade;
2017;Alkemade;
2018;Alkemade;
2019;Alkemade;
2020;Alkemade;
2021;Alkemade;
2022;Alkemade;
2023;Alkemade;
2024;Alkemade;
1995;Alkmaar;84638
1996;Alkmaar;91749
1997;Alkmaar;101826
1998;Alkmaar;111290
1999;Alkmaar;128127
2000;Alkmaar;141369
2001;Alkmaar;158305
2002;Alkmaar;178507
2003;Alkmaar;181514
2004;Alkmaar;185798
2005;Alkmaar;190238
2006;Alkmaar;203969
2007;Alkmaar;214349
2008;Alkmaar;219564
2009;Alkmaar;210024
2010;Alkmaar;211926
2011;Alkmaar;206264
2012;Alkmaar;201883
2013;Alkmaar;187931
2014;Alkmaar;195094
2015;Alkmaar;194809
2016;Alkmaar;214497
2017;Alkmaar;238071
2018;Alkmaar;262519
2019;Alkmaar;286883
2020;Alkmaar;313937
2021;Alkmaar;365446
2022;Alkmaar;399298
2023;Alkmaar;393418
2024;Alkmaar;381336
1995;Almelo;72108
1996;Almelo;75984
1997;Almelo;82409
1998;Almelo;90416
1999;Almelo;100990
2000;Almelo;120928
2001;Almelo;137626
2002;Almelo;148314
2003;Almelo;149677
2004;Almelo;155412
2005;Almelo;163863
2006;Almelo;174661
2007;Almelo;178376
2008;Almelo;172286
2009;Almelo;171564
2010;Almelo;172505
2011;Almelo;170489
2012;Almelo;171217
2013;Almelo;152775
2014;Almelo;164312
2015;Almelo;157127
2016;Almelo;169101
2017;Almelo;177040
2018;Almelo;191387
2019;Almelo;209973
2020;Almelo;222697
2021;Almelo;273244
2022;Almelo;293519
2023;Almelo;306698
2024;Almelo;313612
1995;Almere;92546
1996;Almere;102638
1997;Almere;108957
1998;Almere;112179
1999;Almere;134684
2000;Almere;157145
2001;Almere;170565
2002;Almere;188560
2003;Almere;197749
2004;Almere;196465
2005;Almere;197747
2006;Almere;208941
2007;Almere;215482
2008;Almere;223489
2009;Almere;209689
2010;Almere;205853
2011;Almere;205127
2012;Almere;192040
2013;Almere;180357
2014;Almere;188513
2015;Almere;194953
2016;Almere;206317
2017;Almere;240518
2018;Almere;272616
2019;Almere;294284
2020;Almere;330079
2021;Almere;390714
2022;Almere;439053
2023;Almere;424531
2024;Almere;460849
1995;Alphen aan den Rijn;100965
1996;Alphen aan den Rijn;112026
1997;Alphen aan den Rijn;116687
1998;Alphen aan den Rijn;125996
1999;Alphen aan den Rijn;146359
2000;Alphen aan den Rijn;181567
2001;Alphen aan den Rijn;198489
2002;Alphen aan den Rijn;203049
2003;Alphen aan den Rijn;215776
2004;Alphen aan den Rijn;213741
2005;Alphen aan den Rijn;223145
2006;Alphen aan den Rijn;236262
2007;Alphen aan den Rijn;234586
2008;Alphen aan den Rijn;248638
2009;Alphen aan den Rijn;187425
2010;Alphen aan den Rijn;193252
2011;Alphen aan den Rijn;211847
2012;Alphen aan den Rijn;198369
2013;Alphen aan den Rijn;214234
2014;Alphen aan den Rijn;224102
2015;Alphen aan den Rijn;210948
2016;Alphen aan den Rijn;223430
2017;Alphen aan den Rijn;246886
2018;Alphen aan den Rijn;269286
2019;Alphen aan den Rijn;286500
2020;Alphen aan den Rijn;320239
2021;Alphen aan den Rijn;360031
2022;Alphen aan den Rijn;411170
2023;Alphen aan den Rijn;401474
2024;Alphen aan den Rijn;445481
1995;Alphen en Riel;124220
1996;Alphen en Riel;148051
1997;Alphen en Riel;
1998;Alphen en Riel;
1999;Alphen en Riel;
2000;Alphen en Riel;
2001;Alphen en Riel;
2002;Alphen en Riel;
2003;Alphen en Riel;
2004;Alphen en Riel;
2005;Alphen en Riel;
2006;Alphen en Riel;
2007;Alphen en Riel;
2008;Alphen en Riel;
2009;Alphen en Riel;
2010;Alphen en Riel;
2011;Alphen en Riel;
2012;Alphen en Riel;
2013;Alphen en Riel;
2014;Alphen en Riel;
2015;Alphen en Riel;
2016;Alphen en Riel;
2017;Alphen en Riel;
2018;Alphen en Riel;
2019;Alphen en Riel;
2020;Alphen en Riel;
2021;Alphen en Riel;
2022;Alphen en Riel;
2023;Alphen en Riel;
2024;Alphen en Riel;
1995;Alphen-Chaam;
1996;Alphen-Chaam;
1997;Alphen-Chaam;143765
1998;Alphen-Chaam;176845
1999;Alphen-Chaam;212194
2000;Alphen-Chaam;279094
2001;Alphen-Chaam;263608
2002;Alphen-Chaam;270206
2003;Alphen-Chaam;304739
2004;Alphen-Chaam;300297
2005;Alphen-Chaam;291493
2006;Alphen-Chaam;355564
2007;Alphen-Chaam;365341
2008;Alphen-Chaam;326592
2009;Alphen-Chaam;332111
2010;Alphen-Chaam;297254
2011;Alphen-Chaam;292151
2012;Alphen-Chaam;277341
2013;Alphen-Chaam;279286
2014;Alphen-Chaam;276898
2015;Alphen-Chaam;299679
2016;Alphen-Chaam;291149
2017;Alphen-Chaam;315979
2018;Alphen-Chaam;345480
2019;Alphen-Chaam;347848
2020;Alphen-Chaam;390439
2021;Alphen-Chaam;466144
2022;Alphen-Chaam;525868
2023;Alphen-Chaam;461830
2024;Alphen-Chaam;540949
1995;Altena;
1996;Altena;
1997;Altena;
1998;Altena;
1999;Altena;
2000;Altena;
2001;Altena;
2002;Altena;
2003;Altena;
2004;Altena;
2005;Altena;
2006;Altena;
2007;Altena;
2008;Altena;
2009;Altena;
2010;Altena;
2011;Altena;
2012;Altena;
2013;Altena;
2014;Altena;
2015;Altena;
2016;Altena;
2017;Altena;
2018;Altena;
2019;Altena;291448
2020;Altena;319849
2021;Altena;357769
2022;Altena;402772
2023;Altena;404703
2024;Altena;445893
1995;Ambt Delden;97156
1996;Ambt Delden;127351
1997;Ambt Delden;141375
1998;Ambt Delden;148104
1999;Ambt Delden;135718
2000;Ambt Delden;208892
2001;Ambt Delden;
2002;Ambt Delden;
2003;Ambt Delden;
2004;Ambt Delden;
2005;Ambt Delden;
2006;Ambt Delden;
2007;Ambt Delden;
2008;Ambt Delden;
2009;Ambt Delden;
2010;Ambt Delden;
2011;Ambt Delden;
2012;Ambt Delden;
2013;Ambt Delden;
2014;Ambt Delden;
2015;Ambt Delden;
2016;Ambt Delden;
2017;Ambt Delden;
2018;Ambt Delden;
2019;Ambt Delden;
2020;Ambt Delden;
2021;Ambt Delden;
2022;Ambt Delden;
2023;Ambt Delden;
2024;Ambt Delden;
1995;Ambt Montfort;97791
1996;Ambt Montfort;110575
1997;Ambt Montfort;115704
1998;Ambt Montfort;136267
1999;Ambt Montfort;140353
2000;Ambt Montfort;169937
2001;Ambt Montfort;170463
2002;Ambt Montfort;185087
2003;Ambt Montfort;185826
2004;Ambt Montfort;188546
2005;Ambt Montfort;186751
2006;Ambt Montfort;186527
2007;Ambt Montfort;
2008;Ambt Montfort;
2009;Ambt Montfort;
2010;Ambt Montfort;
2011;Ambt Montfort;
2012;Ambt Montfort;
2013;Ambt Montfort;
2014;Ambt Montfort;
2015;Ambt Montfort;
2016;Ambt Montfort;
2017;Ambt Montfort;
2018;Ambt Montfort;
2019;Ambt Montfort;
2020;Ambt Montfort;
2021;Ambt Montfort;
2022;Ambt Montfort;
2023;Ambt Montfort;
2024;Ambt Montfort;
1995;Ameland;88893
1996;Ameland;74560
1997;Ameland;91752
1998;Ameland;108159
1999;Ameland;118170
2000;Ameland;161227
2001;Ameland;135235
2002;Ameland;159701
2003;Ameland;159645
2004;Ameland;174771
2005;Ameland;206699
2006;Ameland;190249
2007;Ameland;207912
2008;Ameland;210325
2009;Ameland;198673
2010;Ameland;207460
2011;Ameland;204085
2012;Ameland;181521
2013;Ameland;215026
2014;Ameland;198338
2015;Ameland;178284
2016;Ameland;252680
2017;Ameland;251805
2018;Ameland;259821
2019;Ameland;321196
2020;Ameland;346924
2021;Ameland;345157
2022;Ameland;388696
2023;Ameland;353454
2024;Ameland;391851
1995;Amerongen;126682
1996;Amerongen;156784
1997;Amerongen;169643
1998;Amerongen;191675
1999;Amerongen;185992
2000;Amerongen;265472
2001;Amerongen;258365
2002;Amerongen;325381
2003;Amerongen;303030
2004;Amerongen;266476
2005;Amerongen;349557
2006;Amerongen;
2007;Amerongen;
2008;Amerongen;
2009;Amerongen;
2010;Amerongen;
2011;Amerongen;
2012;Amerongen;
2013;Amerongen;
2014;Amerongen;
2015;Amerongen;
2016;Amerongen;
2017;Amerongen;
2018;Amerongen;
2019;Amerongen;
2020;Amerongen;
2021;Amerongen;
2022;Amerongen;
2023;Amerongen;
2024;Amerongen;
1995;Amersfoort;107823
1996;Amersfoort;117857
1997;Amersfoort;129387
1998;Amersfoort;143880
1999;Amersfoort;166995
2000;Amersfoort;198085
2001;Amersfoort;217625
2002;Amersfoort;224999
2003;Amersfoort;223620
2004;Amersfoort;233132
2005;Amersfoort;240428
2006;Amersfoort;249382
2007;Amersfoort;258568
2008;Amersfoort;274327
2009;Amersfoort;255681
2010;Amersfoort;269044
2011;Amersfoort;261404
2012;Amersfoort;245953
2013;Amersfoort;233493
2014;Amersfoort;243723
2015;Amersfoort;240857
2016;Amersfoort;262805
2017;Amersfoort;296863
2018;Amersfoort;340318
2019;Amersfoort;358651
2020;Amersfoort;379129
2021;Amersfoort;416892
2022;Amersfoort;468507
2023;Amersfoort;466025
2024;Amersfoort;510887
1995;Ammerzoden;105235
1996;Ammerzoden;116663
1997;Ammerzoden;122112
1998;Ammerzoden;123562
1999;Ammerzoden;
2000;Ammerzoden;
2001;Ammerzoden;
2002;Ammerzoden;
2003;Ammerzoden;
2004;Ammerzoden;
2005;Ammerzoden;
2006;Ammerzoden;
2007;Ammerzoden;
2008;Ammerzoden;
2009;Ammerzoden;
2010;Ammerzoden;
2011;Ammerzoden;
2012;Ammerzoden;
2013;Ammerzoden;
2014;Ammerzoden;
2015;Ammerzoden;
2016;Ammerzoden;
2017;Ammerzoden;
2018;Ammerzoden;
2019;Ammerzoden;
2020;Ammerzoden;
2021;Ammerzoden;
2022;Ammerzoden;
2023;Ammerzoden;
2024;Ammerzoden;
1995;Amstelveen;110371
1996;Amstelveen;120575
1997;Amstelveen;138260
1998;Amstelveen;160015
1999;Amstelveen;199951
2000;Amstelveen;244012
2001;Amstelveen;264902
2002;Amstelveen;270571
2003;Amstelveen;264715
2004;Amstelveen;274697
2005;Amstelveen;286003
2006;Amstelveen;295680
2007;Amstelveen;318682
2008;Amstelveen;337305
2009;Amstelveen;308892
2010;Amstelveen;312791
2011;Amstelveen;318466
2012;Amstelveen;306621
2013;Amstelveen;280407
2014;Amstelveen;305619
2015;Amstelveen;331763
2016;Amstelveen;363088
2017;Amstelveen;420478
2018;Amstelveen;474669
2019;Amstelveen;525247
2020;Amstelveen;534717
2021;Amstelveen;625658
2022;Amstelveen;658372
2023;Amstelveen;615382
2024;Amstelveen;649823
1995;Amsterdam;98008
1996;Amsterdam;110420
1997;Amsterdam;126024
1998;Amsterdam;151254
1999;Amsterdam;189227
2000;Amsterdam;224938
2001;Amsterdam;247082
2002;Amsterdam;251413
2003;Amsterdam;231768
2004;Amsterdam;227679
2005;Amsterdam;238189
2006;Amsterdam;257215
2007;Amsterdam;285587
2008;Amsterdam;305206
2009;Amsterdam;280670
2010;Amsterdam;281206
2011;Amsterdam;284668
2012;Amsterdam;270507
2013;Amsterdam;256308
2014;Amsterdam;272438
2015;Amsterdam;303925
2016;Amsterdam;358976
2017;Amsterdam;407670
2018;Amsterdam;460751
2019;Amsterdam;484995
2020;Amsterdam;510919
2021;Amsterdam;569890
2022;Amsterdam;620954
2023;Amsterdam;568161
2024;Amsterdam;617647
1995;Andijk;94136
1996;Andijk;96752
1997;Andijk;101988
1998;Andijk;104506
1999;Andijk;149228
2000;Andijk;163622
2001;Andijk;206760
2002;Andijk;229583
2003;Andijk;190488
2004;Andijk;197203
2005;Andijk;219840
2006;Andijk;209838
2007;Andijk;244555
2008;Andijk;246431
2009;Andijk;197245
2010;Andijk;223475
2011;Andijk;
2012;Andijk;
2013;Andijk;
2014;Andijk;
2015;Andijk;
2016;Andijk;
2017;Andijk;
2018;Andijk;
2019;Andijk;
2020;Andijk;
2021;Andijk;
2022;Andijk;
2023;Andijk;
2024;Andijk;
1995;Angerlo;93485
1996;Angerlo;120437
1997;Angerlo;136359
1998;Angerlo;132375
1999;Angerlo;160114
2000;Angerlo;187234
2001;Angerlo;226368
2002;Angerlo;252250
2003;Angerlo;186298
2004;Angerlo;232725
2005;Angerlo;
2006;Angerlo;
2007;Angerlo;
2008;Angerlo;
2009;Angerlo;
2010;Angerlo;
2011;Angerlo;
2012;Angerlo;
2013;Angerlo;
2014;Angerlo;
2015;Angerlo;
2016;Angerlo;
2017;Angerlo;
2018;Angerlo;
2019;Angerlo;
2020;Angerlo;
2021;Angerlo;
2022;Angerlo;
2023;Angerlo;
2024;Angerlo;
1995;Anloo;103300
1996;Anloo;116129
1997;Anloo;103194
1998;Anloo;
1999;Anloo;
2000;Anloo;
2001;Anloo;
2002;Anloo;
2003;Anloo;
2004;Anloo;
2005;Anloo;
2006;Anloo;
2007;Anloo;
2008;Anloo;
2009;Anloo;
2010;Anloo;
2011;Anloo;
2012;Anloo;
2013;Anloo;
2014;Anloo;
2015;Anloo;
2016;Anloo;
2017;Anloo;
2018;Anloo;
2019;Anloo;
2020;Anloo;
2021;Anloo;
2022;Anloo;
2023;Anloo;
2024;Anloo;
1995;Anna Paulowna;85235
1996;Anna Paulowna;93961
1997;Anna Paulowna;113344
1998;Anna Paulowna;124096
1999;Anna Paulowna;145181
2000;Anna Paulowna;174154
2001;Anna Paulowna;186422
2002;Anna Paulowna;192936
2003;Anna Paulowna;207238
2004;Anna Paulowna;207360
2005;Anna Paulowna;228171
2006;Anna Paulowna;225820
2007;Anna Paulowna;227336
2008;Anna Paulowna;250308
2009;Anna Paulowna;217520
2010;Anna Paulowna;199918
2011;Anna Paulowna;214838
2012;Anna Paulowna;
2013;Anna Paulowna;
2014;Anna Paulowna;
2015;Anna Paulowna;
2016;Anna Paulowna;
2017;Anna Paulowna;
2018;Anna Paulowna;
2019;Anna Paulowna;
2020;Anna Paulowna;
2021;Anna Paulowna;
2022;Anna Paulowna;
2023;Anna Paulowna;
2024;Anna Paulowna;
1995;Apeldoorn;100024
1996;Apeldoorn;109968
1997;Apeldoorn;122534
1998;Apeldoorn;136409
1999;Apeldoorn;156702
2000;Apeldoorn;192227
2001;Apeldoorn;210654
2002;Apeldoorn;213442
2003;Apeldoorn;220285
2004;Apeldoorn;230944
2005;Apeldoorn;243423
2006;Apeldoorn;254550
2007;Apeldoorn;263858
2008;Apeldoorn;260812
2009;Apeldoorn;238914
2010;Apeldoorn;239224
2011;Apeldoorn;243583
2012;Apeldoorn;230535
2013;Apeldoorn;204898
2014;Apeldoorn;214203
2015;Apeldoorn;219569
2016;Apeldoorn;227978
2017;Apeldoorn;252463
2018;Apeldoorn;275434
2019;Apeldoorn;287155
2020;Apeldoorn;316006
2021;Apeldoorn;379364
2022;Apeldoorn;420466
2023;Apeldoorn;407625
2024;Apeldoorn;434524
1995;Appingedam;63239
1996;Appingedam;63839
1997;Appingedam;75184
1998;Appingedam;77023
1999;Appingedam;80202
2000;Appingedam;93688
2001;Appingedam;112452
2002;Appingedam;126843
2003;Appingedam;141034
2004;Appingedam;153787
2005;Appingedam;162537
2006;Appingedam;150387
2007;Appingedam;161195
2008;Appingedam;179629
2009;Appingedam;159694
2010;Appingedam;167311
2011;Appingedam;171155
2012;Appingedam;151738
2013;Appingedam;141286
2014;Appingedam;146861
2015;Appingedam;146925
2016;Appingedam;164504
2017;Appingedam;174924
2018;Appingedam;192439
2019;Appingedam;194795
2020;Appingedam;204754
2021;Appingedam;
2022;Appingedam;
2023;Appingedam;
2024;Appingedam;
1995;Arcen en Velden;119162
1996;Arcen en Velden;112834
1997;Arcen en Velden;141654
1998;Arcen en Velden;151948
1999;Arcen en Velden;164240
2000;Arcen en Velden;188990
2001;Arcen en Velden;183610
2002;Arcen en Velden;195137
2003;Arcen en Velden;231565
2004;Arcen en Velden;220243
2005;Arcen en Velden;227055
2006;Arcen en Velden;236324
2007;Arcen en Velden;240021
2008;Arcen en Velden;274057
2009;Arcen en Velden;198916
2010;Arcen en Velden;
2011;Arcen en Velden;
2012;Arcen en Velden;
2013;Arcen en Velden;
2014;Arcen en Velden;
2015;Arcen en Velden;
2016;Arcen en Velden;
2017;Arcen en Velden;
2018;Arcen en Velden;
2019;Arcen en Velden;
2020;Arcen en Velden;
2021;Arcen en Velden;
2022;Arcen en Velden;
2023;Arcen en Velden;
2024;Arcen en Velden;
1995;Arnemuiden;65405
1996;Arnemuiden;79146
1997;Arnemuiden;
1998;Arnemuiden;
1999;Arnemuiden;
2000;Arnemuiden;
2001;Arnemuiden;
2002;Arnemuiden;
2003;Arnemuiden;
2004;Arnemuiden;
2005;Arnemuiden;
2006;Arnemuiden;
2007;Arnemuiden;
2008;Arnemuiden;
2009;Arnemuiden;
2010;Arnemuiden;
2011;Arnemuiden;
2012;Arnemuiden;
2013;Arnemuiden;
2014;Arnemuiden;
2015;Arnemuiden;
2016;Arnemuiden;
2017;Arnemuiden;
2018;Arnemuiden;
2019;Arnemuiden;
2020;Arnemuiden;
2021;Arnemuiden;
2022;Arnemuiden;
2023;Arnemuiden;
2024;Arnemuiden;
1995;Arnhem;80240
1996;Arnhem;87221
1997;Arnhem;97326
1998;Arnhem;111416
1999;Arnhem;129059
2000;Arnhem;149386
2001;Arnhem;164376
2002;Arnhem;172213
2003;Arnhem;179682
2004;Arnhem;186810
2005;Arnhem;188779
2006;Arnhem;196732
2007;Arnhem;203549
2008;Arnhem;219351
2009;Arnhem;200876
2010;Arnhem;204498
2011;Arnhem;212747
2012;Arnhem;205702
2013;Arnhem;189517
2014;Arnhem;190551
2015;Arnhem;199528
2016;Arnhem;205816
2017;Arnhem;221424
2018;Arnhem;249290
2019;Arnhem;260635
2020;Arnhem;279571
2021;Arnhem;344738
2022;Arnhem;383699
2023;Arnhem;369114
2024;Arnhem;403201
1995;Assen;75013
1996;Assen;81232
1997;Assen;80947
1998;Assen;88505
1999;Assen;102768
2000;Assen;120177
2001;Assen;131365
2002;Assen;145777
2003;Assen;149765
2004;Assen;159401
2005;Assen;168939
2006;Assen;180645
2007;Assen;184287
2008;Assen;186792
2009;Assen;184050
2010;Assen;186206
2011;Assen;182993
2012;Assen;182530
2013;Assen;172090
2014;Assen;175497
2015;Assen;183838
2016;Assen;190911
2017;Assen;199135
2018;Assen;213612
2019;Assen;228658
2020;Assen;250572
2021;Assen;301082
2022;Assen;330027
2023;Assen;334100
2024;Assen;361465
1995;Asten;99123
1996;Asten;125457
1997;Asten;146036
1998;Asten;154023
1999;Asten;172245
2000;Asten;205914
2001;Asten;212491
2002;Asten;238882
2003;Asten;251999
2004;Asten;244880
2005;Asten;282994
2006;Asten;263722
2007;Asten;298471
