"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2008";"Elst";""
"2009";"Elst";""
"2010";"Elst";""
"2011";"Elst";""
"2012";"Elst";""
"2013";"Elst";""
"2014";"Elst";""
"2015";"Elst";""
"2016";"Elst";""
"2017";"Elst";""
"2018";"Elst";""
"2019";"Elst";""
"2020";"Elst";""
"2021";"Elst";""
"2022";"Elst";""
"2023";"Elst";""
"2024";"Elst";""
"2025";"Elst";""
"1995";"Emmen";"     339"
"1996";"Emmen";"     340"
"1997";"Emmen";"     342"
"1998";"Emmen";"     307"
"1999";"Emmen";"     308"
"2000";"Emmen";"     311"
"2001";"Emmen";"     315"
"2002";"Emmen";"     318"
"2003";"Emmen";"     321"
"2004";"Emmen";"     321"
"2005";"Emmen";"     322"
"2006";"Emmen";"     322"
"2007";"Emmen";"     323"
"2008";"Emmen";"     324"
"2009";"Emmen";"     325"
"2010";"Emmen";"     325"
"2011";"Emmen";"     325"
"2012";"Emmen";"     324"
"2013";"Emmen";"     323"
"2014";"Emmen";"     322"
"2015";"Emmen";"     321"
"2016";"Emmen";"     321"
"2017";"Emmen";"     321"
"2018";"Emmen";"     320"
"2019";"Emmen";"     320"
"2020";"Emmen";"     319"
"2021";"Emmen";"     319"
"2022";"Emmen";"     322"
"2023";"Emmen";"     324"
"2024";"Emmen";"     326"
"2025";"Emmen";""
"1995";"Enkhuizen";"    1276"
"1996";"Enkhuizen";"    1281"
"1997";"Enkhuizen";"    1287"
"1998";"Enkhuizen";"    1311"
"1999";"Enkhuizen";"    1322"
"2000";"Enkhuizen";"    1350"
"2001";"Enkhuizen";"    1357"
"2002";"Enkhuizen";"    1360"
"2003";"Enkhuizen";"    1378"
"2004";"Enkhuizen";"    1388"
"2005";"Enkhuizen";"    1394"
"2006";"Enkhuizen";"    1429"
"2007";"Enkhuizen";"    1438"
"2008";"Enkhuizen";"    1436"
"2009";"Enkhuizen";"    1460"
"2010";"Enkhuizen";"    1464"
"2011";"Enkhuizen";"    1463"
"2012";"Enkhuizen";"    1471"
"2013";"Enkhuizen";"    1444"
"2014";"Enkhuizen";"    1449"
"2015";"Enkhuizen";"    1446"
"2016";"Enkhuizen";"    1455"
"2017";"Enkhuizen";"    1457"
"2018";"Enkhuizen";"    1457"
"2019";"Enkhuizen";"    1459"
"2020";"Enkhuizen";"    1466"
"2021";"Enkhuizen";"    1469"
"2022";"Enkhuizen";"    1470"
"2023";"Enkhuizen";"    1491"
"2024";"Enkhuizen";"    1492"
"2025";"Enkhuizen";""
"1995";"Enschede";"    1053"
"1996";"Enschede";"    1052"
"1997";"Enschede";"    1054"
"1998";"Enschede";"    1058"
"1999";"Enschede";"    1061"
"2000";"Enschede";"    1068"
"2001";"Enschede";"    1065"
"2002";"Enschede";"    1071"
"2003";"Enschede";"    1080"
"2004";"Enschede";"    1084"
"2005";"Enschede";"    1089"
"2006";"Enschede";"    1095"
"2007";"Enschede";"    1096"
"2008";"Enschede";"    1098"
"2009";"Enschede";"    1107"
"2010";"Enschede";"    1114"
"2011";"Enschede";"    1119"
"2012";"Enschede";"    1121"
"2013";"Enschede";"    1125"
"2014";"Enschede";"    1125"
"2015";"Enschede";"    1125"
"2016";"Enschede";"    1123"
"2017";"Enschede";"    1122"
"2018";"Enschede";"    1124"
"2019";"Enschede";"    1129"
"2020";"Enschede";"    1134"
"2021";"Enschede";"    1134"
"2022";"Enschede";"    1141"
"2023";"Enschede";"    1146"
"2024";"Enschede";"    1149"
"2025";"Enschede";""
"1995";"Epe";"     214"
"1996";"Epe";"     214"
"1997";"Epe";"     213"
"1998";"Epe";"     213"
"1999";"Epe";"     213"
"2000";"Epe";"     212"
"2001";"Epe";"     212"
"2002";"Epe";"     213"
"2003";"Epe";"     213"
"2004";"Epe";"     213"
"2005";"Epe";"     212"
"2006";"Epe";"     211"
"2007";"Epe";"     211"
"2008";"Epe";"     211"
"2009";"Epe";"     211"
"2010";"Epe";"     211"
"2011";"Epe";"     210"
"2012";"Epe";"     208"
"2013";"Epe";"     207"
"2014";"Epe";"     207"
"2015";"Epe";"     206"
"2016";"Epe";"     207"
"2017";"Epe";"     208"
"2018";"Epe";"     211"
"2019";"Epe";"     212"
"2020";"Epe";"     213"
"2021";"Epe";"     213"
"2022";"Epe";"     213"
"2023";"Epe";"     213"
"2024";"Epe";"     212"
"2025";"Epe";""
"1995";"Ermelo";"     313"
"1996";"Ermelo";"     312"
"1997";"Ermelo";"     315"
"1998";"Ermelo";"     315"
"1999";"Ermelo";"     312"
"2000";"Ermelo";"     312"
"2001";"Ermelo";"     313"
"2002";"Ermelo";"     312"
"2003";"Ermelo";"     312"
"2004";"Ermelo";"     310"
"2005";"Ermelo";"     308"
"2006";"Ermelo";"     306"
"2007";"Ermelo";"     307"
"2008";"Ermelo";"     307"
"2009";"Ermelo";"     307"
"2010";"Ermelo";"     307"
"2011";"Ermelo";"     305"
"2012";"Ermelo";"     305"
"2013";"Ermelo";"     305"
"2014";"Ermelo";"     304"
"2015";"Ermelo";"     306"
"2016";"Ermelo";"     310"
"2017";"Ermelo";"     311"
"2018";"Ermelo";"     313"
"2019";"Ermelo";"     314"
"2020";"Ermelo";"     315"
"2021";"Ermelo";"     315"
"2022";"Ermelo";"     318"
"2023";"Ermelo";"     321"
"2024";"Ermelo";"     325"
"2025";"Ermelo";""
"1995";"Esch";"     446"
"1996";"Esch";""
"1997";"Esch";""
"1998";"Esch";""
"1999";"Esch";""
"2000";"Esch";""
"2001";"Esch";""
"2002";"Esch";""
"2003";"Esch";""
"2004";"Esch";""
"2005";"Esch";""
"2006";"Esch";""
"2007";"Esch";""
"2008";"Esch";""
"2009";"Esch";""
"2010";"Esch";""
"2011";"Esch";""
"2012";"Esch";""
"2013";"Esch";""
"2014";"Esch";""
"2015";"Esch";""
"2016";"Esch";""
"2017";"Esch";""
"2018";"Esch";""
"2019";"Esch";""
"2020";"Esch";""
"2021";"Esch";""
"2022";"Esch";""
"2023";"Esch";""
"2024";"Esch";""
"2025";"Esch";""
"1995";"Etten-Leur";"     585"
"1996";"Etten-Leur";"     592"
"1997";"Etten-Leur";"     633"
"1998";"Etten-Leur";"     644"
"1999";"Etten-Leur";"     651"
"2000";"Etten-Leur";"     668"
"2001";"Etten-Leur";"     681"
"2002";"Etten-Leur";"     696"
"2003";"Etten-Leur";"     710"
"2004";"Etten-Leur";"     715"
"2005";"Etten-Leur";"     719"
"2006";"Etten-Leur";"     728"
"2007";"Etten-Leur";"     733"
"2008";"Etten-Leur";"     730"
"2009";"Etten-Leur";"     741"
"2010";"Etten-Leur";"     750"
"2011";"Etten-Leur";"     755"
"2012";"Etten-Leur";"     760"
"2013";"Etten-Leur";"     764"
"2014";"Etten-Leur";"     765"
"2015";"Etten-Leur";"     768"
"2016";"Etten-Leur";"     774"
"2017";"Etten-Leur";"     778"
"2018";"Etten-Leur";"     787"
"2019";"Etten-Leur";"     792"
"2020";"Etten-Leur";"     793"
"2021";"Etten-Leur";"     793"
"2022";"Etten-Leur";"     799"
"2023";"Etten-Leur";"     806"
"2024";"Etten-Leur";"     818"
"2025";"Etten-Leur";""
"1995";"Ferwerderadeel";"      92"
"1996";"Ferwerderadeel";"      91"
"1997";"Ferwerderadeel";"      90"
"1998";"Ferwerderadeel";"      89"
"1999";"Ferwerderadeel";""
"2000";"Ferwerderadeel";""
"2001";"Ferwerderadeel";""
"2002";"Ferwerderadeel";""
"2003";"Ferwerderadeel";""
"2004";"Ferwerderadeel";""
"2005";"Ferwerderadeel";""
"2006";"Ferwerderadeel";""
"2007";"Ferwerderadeel";""
"2008";"Ferwerderadeel";""
"2009";"Ferwerderadeel";""
"2010";"Ferwerderadeel";""
"2011";"Ferwerderadeel";""
"2012";"Ferwerderadeel";""
"2013";"Ferwerderadeel";""
"2014";"Ferwerderadeel";""
"2015";"Ferwerderadeel";""
"2016";"Ferwerderadeel";""
"2017";"Ferwerderadeel";""
"2018";"Ferwerderadeel";""
"2019";"Ferwerderadeel";""
"2020";"Ferwerderadeel";""
"2021";"Ferwerderadeel";""
"2022";"Ferwerderadeel";""
"2023";"Ferwerderadeel";""
"2024";"Ferwerderadeel";""
"2025";"Ferwerderadeel";""
"1995";"Ferwerderadiel";""
"1996";"Ferwerderadiel";""
"1997";"Ferwerderadiel";""
"1998";"Ferwerderadiel";""
"1999";"Ferwerderadiel";"      89"
"2000";"Ferwerderadiel";"      90"
"2001";"Ferwerderadiel";"      90"
"2002";"Ferwerderadiel";"      91"
"2003";"Ferwerderadiel";"      92"
"2004";"Ferwerderadiel";"      92"
"2005";"Ferwerderadiel";"      92"
"2006";"Ferwerderadiel";"      92"
"2007";"Ferwerderadiel";"      91"
"2008";"Ferwerderadiel";"      91"
"2009";"Ferwerderadiel";"      90"
"2010";"Ferwerderadiel";"      90"
"2011";"Ferwerderadiel";"      91"
"2012";"Ferwerderadiel";"      90"
"2013";"Ferwerderadiel";"      91"
"2014";"Ferwerderadiel";"      90"
"2015";"Ferwerderadiel";"      89"
"2016";"Ferwerderadiel";"      89"
"2017";"Ferwerderadiel";"      89"
"2018";"Ferwerderadiel";"      87"
"2019";"Ferwerderadiel";""
"2020";"Ferwerderadiel";""
"2021";"Ferwerderadiel";""
"2022";"Ferwerderadiel";""
"2023";"Ferwerderadiel";""
"2024";"Ferwerderadiel";""
"2025";"Ferwerderadiel";""
"1995";"Fijnaart en Heijningen";"     149"
"1996";"Fijnaart en Heijningen";"     147"
"1997";"Fijnaart en Heijningen";""
"1998";"Fijnaart en Heijningen";""
"1999";"Fijnaart en Heijningen";""
"2000";"Fijnaart en Heijningen";""
"2001";"Fijnaart en Heijningen";""
"2002";"Fijnaart en Heijningen";""
"2003";"Fijnaart en Heijningen";""
"2004";"Fijnaart en Heijningen";""
"2005";"Fijnaart en Heijningen";""
"2006";"Fijnaart en Heijningen";""
"2007";"Fijnaart en Heijningen";""
"2008";"Fijnaart en Heijningen";""
"2009";"Fijnaart en Heijningen";""
"2010";"Fijnaart en Heijningen";""
"2011";"Fijnaart en Heijningen";""
"2012";"Fijnaart en Heijningen";""
"2013";"Fijnaart en Heijningen";""
"2014";"Fijnaart en Heijningen";""
"2015";"Fijnaart en Heijningen";""
"2016";"Fijnaart en Heijningen";""
"2017";"Fijnaart en Heijningen";""
"2018";"Fijnaart en Heijningen";""
"2019";"Fijnaart en Heijningen";""
"2020";"Fijnaart en Heijningen";""
"2021";"Fijnaart en Heijningen";""
"2022";"Fijnaart en Heijningen";""
"2023";"Fijnaart en Heijningen";""
"2024";"Fijnaart en Heijningen";""
"2025";"Fijnaart en Heijningen";""
"1995";"Franekeradeel";"     200"
"1996";"Franekeradeel";"     198"
"1997";"Franekeradeel";"     198"
"1998";"Franekeradeel";"     196"
"1999";"Franekeradeel";"     195"
"2000";"Franekeradeel";"     197"
"2001";"Franekeradeel";"     198"
"2002";"Franekeradeel";"     202"
"2003";"Franekeradeel";"     204"
"2004";"Franekeradeel";"     205"
"2005";"Franekeradeel";"     204"
"2006";"Franekeradeel";"     203"
"2007";"Franekeradeel";"     200"
"2008";"Franekeradeel";"     200"
"2009";"Franekeradeel";"     200"
"2010";"Franekeradeel";"     201"
"2011";"Franekeradeel";"     202"
"2012";"Franekeradeel";"     200"
"2013";"Franekeradeel";"     200"
"2014";"Franekeradeel";"     199"
"2015";"Franekeradeel";"     198"
"2016";"Franekeradeel";"     198"
"2017";"Franekeradeel";"     197"
"2018";"Franekeradeel";""
"2019";"Franekeradeel";""
"2020";"Franekeradeel";""
"2021";"Franekeradeel";""
"2022";"Franekeradeel";""
"2023";"Franekeradeel";""
"2024";"Franekeradeel";""
"2025";"Franekeradeel";""
"1995";"De Friese Meren";""
"1996";"De Friese Meren";""
"1997";"De Friese Meren";""
"1998";"De Friese Meren";""
"1999";"De Friese Meren";""
"2000";"De Friese Meren";""
"2001";"De Friese Meren";""
"2002";"De Friese Meren";""
"2003";"De Friese Meren";""
"2004";"De Friese Meren";""
"2005";"De Friese Meren";""
"2006";"De Friese Meren";""
"2007";"De Friese Meren";""
"2008";"De Friese Meren";""
"2009";"De Friese Meren";""
"2010";"De Friese Meren";""
"2011";"De Friese Meren";""
"2012";"De Friese Meren";""
"2013";"De Friese Meren";""
"2014";"De Friese Meren";"     146"
"2015";"De Friese Meren";"     146"
"2016";"De Friese Meren";""
"2017";"De Friese Meren";""
"2018";"De Friese Meren";""
"2019";"De Friese Meren";""
"2020";"De Friese Meren";""
"2021";"De Friese Meren";""
"2022";"De Friese Meren";""
"2023";"De Friese Meren";""
"2024";"De Friese Meren";""
"2025";"De Friese Meren";""
"1995";"De Fryske Marren";""
"1996";"De Fryske Marren";""
"1997";"De Fryske Marren";""
"1998";"De Fryske Marren";""
"1999";"De Fryske Marren";""
"2000";"De Fryske Marren";""
"2001";"De Fryske Marren";""
"2002";"De Fryske Marren";""
"2003";"De Fryske Marren";""
"2004";"De Fryske Marren";""
"2005";"De Fryske Marren";""
"2006";"De Fryske Marren";""
"2007";"De Fryske Marren";""
"2008";"De Fryske Marren";""
"2009";"De Fryske Marren";""
"2010";"De Fryske Marren";""
"2011";"De Fryske Marren";""
"2012";"De Fryske Marren";""
"2013";"De Fryske Marren";""
"2014";"De Fryske Marren";""
"2015";"De Fryske Marren";""
"2016";"De Fryske Marren";"     146"
"2017";"De Fryske Marren";"     147"
"2018";"De Fryske Marren";"     147"
"2019";"De Fryske Marren";"     146"
"2020";"De Fryske Marren";"     147"
"2021";"De Fryske Marren";"     147"
"2022";"De Fryske Marren";"     147"
"2023";"De Fryske Marren";"     148"
"2024";"De Fryske Marren";"     148"
"2025";"De Fryske Marren";""
"1995";"Gaasterlân-Sleat";"     100"
"1996";"Gaasterlân-Sleat";"     100"
"1997";"Gaasterlân-Sleat";"     101"
"1998";"Gaasterlân-Sleat";"     102"
"1999";"Gaasterlân-Sleat";"     104"
"2000";"Gaasterlân-Sleat";"     106"
"2001";"Gaasterlân-Sleat";"     107"
"2002";"Gaasterlân-Sleat";"     108"
"2003";"Gaasterlân-Sleat";"     108"
"2004";"Gaasterlân-Sleat";"     107"
"2005";"Gaasterlân-Sleat";"     107"
"2006";"Gaasterlân-Sleat";"     108"
"2007";"Gaasterlân-Sleat";"     108"
"2008";"Gaasterlân-Sleat";"     107"
"2009";"Gaasterlân-Sleat";"     108"
"2010";"Gaasterlân-Sleat";"     108"
"2011";"Gaasterlân-Sleat";"     107"
"2012";"Gaasterlân-Sleat";"     107"
"2013";"Gaasterlân-Sleat";"     107"
"2014";"Gaasterlân-Sleat";""
"2015";"Gaasterlân-Sleat";""
"2016";"Gaasterlân-Sleat";""
"2017";"Gaasterlân-Sleat";""
"2018";"Gaasterlân-Sleat";""
"2019";"Gaasterlân-Sleat";""
"2020";"Gaasterlân-Sleat";""
"2021";"Gaasterlân-Sleat";""
"2022";"Gaasterlân-Sleat";""
"2023";"Gaasterlân-Sleat";""
"2024";"Gaasterlân-Sleat";""
"2025";"Gaasterlân-Sleat";""
"1995";"Gasselte";"     106"
"1996";"Gasselte";"     106"
"1997";"Gasselte";"     105"
"1998";"Gasselte";""
"1999";"Gasselte";""
"2000";"Gasselte";""
"2001";"Gasselte";""
"2002";"Gasselte";""
"2003";"Gasselte";""
"2004";"Gasselte";""
"2005";"Gasselte";""
"2006";"Gasselte";""
"2007";"Gasselte";""
"2008";"Gasselte";""
"2009";"Gasselte";""
"2010";"Gasselte";""
"2011";"Gasselte";""
"2012";"Gasselte";""
"2013";"Gasselte";""
"2014";"Gasselte";""
"2015";"Gasselte";""
"2016";"Gasselte";""
"2017";"Gasselte";""
"2018";"Gasselte";""
"2019";"Gasselte";""
"2020";"Gasselte";""
"2021";"Gasselte";""
"2022";"Gasselte";""
"2023";"Gasselte";""
"2024";"Gasselte";""
"2025";"Gasselte";""
"1995";"Geertruidenberg";"    1448"
"1996";"Geertruidenberg";"    1450"
"1997";"Geertruidenberg";"     769"
"1998";"Geertruidenberg";"     774"
"1999";"Geertruidenberg";"     775"
"2000";"Geertruidenberg";"     782"
"2001";"Geertruidenberg";"     777"
"2002";"Geertruidenberg";"     777"
"2003";"Geertruidenberg";"     775"
"2004";"Geertruidenberg";"     775"
"2005";"Geertruidenberg";"     772"
"2006";"Geertruidenberg";"     776"
"2007";"Geertruidenberg";"     776"
"2008";"Geertruidenberg";"     777"
"2009";"Geertruidenberg";"     781"
"2010";"Geertruidenberg";"     792"
"2011";"Geertruidenberg";"     800"
"2012";"Geertruidenberg";"     806"
"2013";"Geertruidenberg";"     808"
"2014";"Geertruidenberg";"     810"
"2015";"Geertruidenberg";"     810"
"2016";"Geertruidenberg";"     812"
"2017";"Geertruidenberg";"     807"
"2018";"Geertruidenberg";"     808"
"2019";"Geertruidenberg";"     808"
"2020";"Geertruidenberg";"     809"
"2021";"Geertruidenberg";"     817"
"2022";"Geertruidenberg";"     825"
"2023";"Geertruidenberg";"     831"
"2024";"Geertruidenberg";"     829"
"2025";"Geertruidenberg";""
"1995";"Geldermalsen";"     230"
"1996";"Geldermalsen";"     233"
"1997";"Geldermalsen";"     234"
"1998";"Geldermalsen";"     237"
"1999";"Geldermalsen";"     240"
"2000";"Geldermalsen";"     246"
"2001";"Geldermalsen";"     250"
"2002";"Geldermalsen";"     252"
"2003";"Geldermalsen";"     257"
"2004";"Geldermalsen";"     257"
"2005";"Geldermalsen";"     263"
"2006";"Geldermalsen";"     263"
"2007";"Geldermalsen";"     263"
"2008";"Geldermalsen";"     264"
"2009";"Geldermalsen";"     263"
"2010";"Geldermalsen";"     263"
"2011";"Geldermalsen";"     262"
"2012";"Geldermalsen";"     263"
"2013";"Geldermalsen";"     263"
"2014";"Geldermalsen";"     263"
"2015";"Geldermalsen";"     264"
"2016";"Geldermalsen";"     264"
"2017";"Geldermalsen";"     266"
"2018";"Geldermalsen";"     269"
"2019";"Geldermalsen";""
"2020";"Geldermalsen";""
"2021";"Geldermalsen";""
"2022";"Geldermalsen";""
"2023";"Geldermalsen";""
"2024";"Geldermalsen";""
"2025";"Geldermalsen";""
"1995";"Geldrop";"    1348"
"1996";"Geldrop";"    1351"
"1997";"Geldrop";"    1969"
"1998";"Geldrop";"    1975"
"1999";"Geldrop";"    1984"
"2000";"Geldrop";"    2002"
"2001";"Geldrop";"    2034"
"2002";"Geldrop";"    2047"
"2003";"Geldrop";"    2035"
"2004";"Geldrop";""
"2005";"Geldrop";""
"2006";"Geldrop";""
"2007";"Geldrop";""
"2008";"Geldrop";""
"2009";"Geldrop";""
"2010";"Geldrop";""
"2011";"Geldrop";""
"2012";"Geldrop";""
"2013";"Geldrop";""
"2014";"Geldrop";""
"2015";"Geldrop";""
"2016";"Geldrop";""
"2017";"Geldrop";""
"2018";"Geldrop";""
"2019";"Geldrop";""
"2020";"Geldrop";""
"2021";"Geldrop";""
"2022";"Geldrop";""
"2023";"Geldrop";""
"2024";"Geldrop";""
"2025";"Geldrop";""
"1995";"Geldrop-Mierlo";""
"1996";"Geldrop-Mierlo";""
"1997";"Geldrop-Mierlo";""
"1998";"Geldrop-Mierlo";""
"1999";"Geldrop-Mierlo";""
"2000";"Geldrop-Mierlo";""
"2001";"Geldrop-Mierlo";""
"2002";"Geldrop-Mierlo";""
"2003";"Geldrop-Mierlo";""
"2004";"Geldrop-Mierlo";"    1213"
"2005";"Geldrop-Mierlo";"    1219"
"2006";"Geldrop-Mierlo";"    1216"
"2007";"Geldrop-Mierlo";"    1219"
"2008";"Geldrop-Mierlo";"    1224"
"2009";"Geldrop-Mierlo";"    1224"
"2010";"Geldrop-Mierlo";"    1228"
"2011";"Geldrop-Mierlo";"    1238"
"2012";"Geldrop-Mierlo";"    1247"
"2013";"Geldrop-Mierlo";"    1250"
"2014";"Geldrop-Mierlo";"    1253"
"2015";"Geldrop-Mierlo";"    1254"
"2016";"Geldrop-Mierlo";"    1254"
"2017";"Geldrop-Mierlo";"    1260"
"2018";"Geldrop-Mierlo";"    1266"
"2019";"Geldrop-Mierlo";"    1277"
"2020";"Geldrop-Mierlo";"    1281"
"2021";"Geldrop-Mierlo";"    1292"
"2022";"Geldrop-Mierlo";"    1294"
"2023";"Geldrop-Mierlo";"    1304"
"2024";"Geldrop-Mierlo";"    1313"
"2025";"Geldrop-Mierlo";""
"1995";"Geleen";"    1384"
"1996";"Geleen";"    1382"
"1997";"Geleen";"    1377"
"1998";"Geleen";"    1378"
"1999";"Geleen";"    1383"
"2000";"Geleen";"    1384"
"2001";"Geleen";""
"2002";"Geleen";""
"2003";"Geleen";""
"2004";"Geleen";""
"2005";"Geleen";""
"2006";"Geleen";""
"2007";"Geleen";""
"2008";"Geleen";""
"2009";"Geleen";""
"2010";"Geleen";""
"2011";"Geleen";""
"2012";"Geleen";""
"2013";"Geleen";""
"2014";"Geleen";""
"2015";"Geleen";""
"2016";"Geleen";""
"2017";"Geleen";""
"2018";"Geleen";""
"2019";"Geleen";""
"2020";"Geleen";""
"2021";"Geleen";""
"2022";"Geleen";""
"2023";"Geleen";""
"2024";"Geleen";""
"2025";"Geleen";""
"1995";"Gemert";"     325"
"1996";"Gemert";"     327"
"1997";"Gemert";""
"1998";"Gemert";""
"1999";"Gemert";""
"2000";"Gemert";""
"2001";"Gemert";""
"2002";"Gemert";""
"2003";"Gemert";""
"2004";"Gemert";""
"2005";"Gemert";""
"2006";"Gemert";""
"2007";"Gemert";""
"2008";"Gemert";""
"2009";"Gemert";""
"2010";"Gemert";""
"2011";"Gemert";""
"2012";"Gemert";""
"2013";"Gemert";""
"2014";"Gemert";""
"2015";"Gemert";""
"2016";"Gemert";""
"2017";"Gemert";""
"2018";"Gemert";""
"2019";"Gemert";""
"2020";"Gemert";""
"2021";"Gemert";""
"2022";"Gemert";""
"2023";"Gemert";""
"2024";"Gemert";""
"2025";"Gemert";""
"1995";"Gemert-Bakel";""
"1996";"Gemert-Bakel";""
"1997";"Gemert-Bakel";"     220"
"1998";"Gemert-Bakel";"     221"
"1999";"Gemert-Bakel";"     222"
"2000";"Gemert-Bakel";"     223"
"2001";"Gemert-Bakel";"     225"
"2002";"Gemert-Bakel";"     225"
"2003";"Gemert-Bakel";"     227"
"2004";"Gemert-Bakel";"     227"
"2005";"Gemert-Bakel";"     227"
"2006";"Gemert-Bakel";"     228"
"2007";"Gemert-Bakel";"     227"
"2008";"Gemert-Bakel";"     229"
"2009";"Gemert-Bakel";"     233"
"2010";"Gemert-Bakel";"     235"
"2011";"Gemert-Bakel";"     236"
"2012";"Gemert-Bakel";"     237"
"2013";"Gemert-Bakel";"     238"
"2014";"Gemert-Bakel";"     240"
"2015";"Gemert-Bakel";"     241"
"2016";"Gemert-Bakel";"     243"
"2017";"Gemert-Bakel";"     246"
"2018";"Gemert-Bakel";"     248"
"2019";"Gemert-Bakel";"     249"
"2020";"Gemert-Bakel";"     252"
"2021";"Gemert-Bakel";"     252"
"2022";"Gemert-Bakel";"     254"
"2023";"Gemert-Bakel";"     257"
"2024";"Gemert-Bakel";"     258"
"2025";"Gemert-Bakel";""
"1995";"Gendringen";"     320"
"1996";"Gendringen";"     321"
"1997";"Gendringen";"     319"
"1998";"Gendringen";"     319"
"1999";"Gendringen";"     321"
"2000";"Gendringen";"     323"
"2001";"Gendringen";"     324"
"2002";"Gendringen";"     326"
"2003";"Gendringen";"     327"
"2004";"Gendringen";"     325"
"2005";"Gendringen";""
"2006";"Gendringen";""
"2007";"Gendringen";""
"2008";"Gendringen";""
"2009";"Gendringen";""
"2010";"Gendringen";""
"2011";"Gendringen";""
"2012";"Gendringen";""
"2013";"Gendringen";""
"2014";"Gendringen";""
"2015";"Gendringen";""
"2016";"Gendringen";""
"2017";"Gendringen";""
"2018";"Gendringen";""
"2019";"Gendringen";""
"2020";"Gendringen";""
"2021";"Gendringen";""
"2022";"Gendringen";""
"2023";"Gendringen";""
"2024";"Gendringen";""
"2025";"Gendringen";""
"1995";"Gendt";"     560"
"1996";"Gendt";"     568"
"1997";"Gendt";"     571"
"1998";"Gendt";"     573"
"1999";"Gendt";"     571"
"2000";"Gendt";"     573"
"2001";"Gendt";""
"2002";"Gendt";""
"2003";"Gendt";""
"2004";"Gendt";""
"2005";"Gendt";""
"2006";"Gendt";""
"2007";"Gendt";""
"2008";"Gendt";""
"2009";"Gendt";""
"2010";"Gendt";""
"2011";"Gendt";""
"2012";"Gendt";""
"2013";"Gendt";""
"2014";"Gendt";""
"2015";"Gendt";""
"2016";"Gendt";""
"2017";"Gendt";""
"2018";"Gendt";""
"2019";"Gendt";""
"2020";"Gendt";""
"2021";"Gendt";""
"2022";"Gendt";""
"2023";"Gendt";""
"2024";"Gendt";""
"2025";"Gendt";""
"1995";"Genemuiden";"     299"
"1996";"Genemuiden";"     303"
"1997";"Genemuiden";"     308"
"1998";"Genemuiden";"     312"
"1999";"Genemuiden";"     319"
"2000";"Genemuiden";"     328"
"2001";"Genemuiden";""
"2002";"Genemuiden";""
"2003";"Genemuiden";""
"2004";"Genemuiden";""
"2005";"Genemuiden";""
"2006";"Genemuiden";""
"2007";"Genemuiden";""
"2008";"Genemuiden";""
"2009";"Genemuiden";""
"2010";"Genemuiden";""
"2011";"Genemuiden";""
"2012";"Genemuiden";""
"2013";"Genemuiden";""
"2014";"Genemuiden";""
"2015";"Genemuiden";""
"2016";"Genemuiden";""
"2017";"Genemuiden";""
"2018";"Genemuiden";""
"2019";"Genemuiden";""
"2020";"Genemuiden";""
"2021";"Genemuiden";""
"2022";"Genemuiden";""
"2023";"Genemuiden";""
"2024";"Genemuiden";""
"2025";"Genemuiden";""
"1995";"Gennep";"     346"
"1996";"Gennep";"     347"
"1997";"Gennep";"     348"
"1998";"Gennep";"     348"
"1999";"Gennep";"     346"
"2000";"Gennep";"     347"
"2001";"Gennep";"     347"
"2002";"Gennep";"     347"
"2003";"Gennep";"     351"
"2004";"Gennep";"     349"
"2005";"Gennep";"     350"
"2006";"Gennep";"     350"
"2007";"Gennep";"     352"
"2008";"Gennep";"     353"
"2009";"Gennep";"     358"
"2010";"Gennep";"     359"
"2011";"Gennep";"     364"
"2012";"Gennep";"     364"
"2013";"Gennep";"     364"
"2014";"Gennep";"     363"
"2015";"Gennep";"     363"
"2016";"Gennep";"     359"
"2017";"Gennep";"     359"
"2018";"Gennep";"     358"
"2019";"Gennep";"     359"
"2020";"Gennep";"     355"
"2021";"Gennep";"     358"
"2022";"Gennep";"     362"
"2023";"Gennep";"     373"
"2024";"Gennep";"     374"
"2025";"Gennep";""
"1995";"Giessenlanden";"     222"
"1996";"Giessenlanden";"     223"
"1997";"Giessenlanden";"     222"
"1998";"Giessenlanden";"     222"
"1999";"Giessenlanden";"     222"
"2000";"Giessenlanden";"     224"
"2001";"Giessenlanden";"     224"
"2002";"Giessenlanden";"     225"
"2003";"Giessenlanden";"     226"
"2004";"Giessenlanden";"     226"
"2005";"Giessenlanden";"     227"
"2006";"Giessenlanden";"     228"
"2007";"Giessenlanden";"     227"
"2008";"Giessenlanden";"     227"
"2009";"Giessenlanden";"     227"
"2010";"Giessenlanden";"     227"
"2011";"Giessenlanden";"     227"
"2012";"Giessenlanden";"     228"
"2013";"Giessenlanden";"     227"
"2014";"Giessenlanden";"     227"
"2015";"Giessenlanden";"     227"
"2016";"Giessenlanden";"     229"
"2017";"Giessenlanden";"     230"
"2018";"Giessenlanden";"     229"
"2019";"Giessenlanden";""
"2020";"Giessenlanden";""
"2021";"Giessenlanden";""
"2022";"Giessenlanden";""
"2023";"Giessenlanden";""
"2024";"Giessenlanden";""
"2025";"Giessenlanden";""
"1995";"Gieten";"     146"
"1996";"Gieten";"     147"
"1997";"Gieten";"     147"
"1998";"Gieten";""
"1999";"Gieten";""
"2000";"Gieten";""
"2001";"Gieten";""
"2002";"Gieten";""
