"Perioden";"Regio's";"Inkomen en vermogen/Particuliere huishoudens excl. studenten (x 1 000)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Woningbezit: huurwoning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld gestandaardiseerd inkomen/Woningbezit: huurwoning (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Particuliere huishoudens excl. studenten (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Eenpersoonshuishouden (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Eenoudergezin (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Paar, zonder kind (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Type: Paar, met kind(eren) (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Inkomen als werknemer (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Inkomen als zelfstandige (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Bron: Overdrachtsinkomen (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Woningbezit: eigen woning (1 000 euro)";"Inkomen en vermogen/Mediaan vermogen huishoudens/Woningbezit: huurwoning (1 000 euro)"
"2023";"Haelen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Haelen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Haelen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Halderberge";"    12.1";"    39.2";"    21.4";"    31.6";"    39.0";"    53.7";"    44.4";"    58.7";"    27.8";"    47.2";"    24.9";"    26.5";"    21.4";"    21.8";"    28.5";"    28.9";"    28.2";"    36.3";"    21.9";"    30.8";"    18.8";"   105.3";"    26.3";"    15.5";"   171.2";"   132.8";"    77.0";"   279.3";"   129.4";"   223.9";"     6.6"
"2012";"Halderberge";"    12.2";"    39.2";"    22.0";"    31.5";"    39.9";"    52.9";"    44.3";"    57.5";"    28.0";"    46.8";"    25.1";"    26.7";"    22.0";"    21.8";"    29.1";"    28.4";"    28.4";"    36.0";"    22.2";"    30.9";"    19.0";"    90.2";"    24.9";"    15.8";"   158.8";"   107.8";"    59.4";"   243.4";"   122.2";"   201.4";"     5.8"
"2013";"Halderberge";"    12.2";"    39.7";"    21.9";"    30.8";"    40.3";"    54.4";"    45.6";"    58.4";"    28.2";"    47.4";"    25.1";"    27.0";"    22.0";"    21.4";"    29.4";"    29.3";"    29.2";"    35.9";"    22.3";"    31.3";"    18.9";"    74.7";"    23.4";"     8.7";"   136.0";"    83.6";"    44.6";"   217.8";"   108.9";"   175.3";"     5.0"
"2014";"Halderberge";"    12.4";"    41.0";"    23.1";"    31.7";"    41.4";"    57.2";"    46.4";"    65.2";"    29.2";"    49.3";"    25.5";"    28.1";"    23.1";"    21.9";"    30.3";"    30.9";"    29.9";"    40.4";"    23.2";"    32.7";"    19.4";"    71.3";"    22.3";"     6.0";"   136.1";"    79.5";"    38.6";"   207.1";"   105.9";"   176.1";"     4.1"
"2015";"Halderberge";"    12.6";"    40.9";"    22.9";"    31.6";"    41.6";"    57.1";"    47.5";"    58.8";"    28.8";"    48.9";"    25.9";"    28.0";"    22.9";"    21.8";"    30.4";"    30.8";"    30.7";"    36.4";"    23.0";"    32.4";"    19.8";"    73.5";"    21.7";"     9.1";"   145.1";"    84.4";"    46.0";"   213.8";"   108.0";"   183.9";"     5.1"
"2016";"Halderberge";"    12.6";"    42.2";"    23.4";"    32.7";"    42.8";"    60.0";"    48.6";"    63.0";"    29.8";"    50.8";"    26.1";"    28.9";"    23.5";"    22.4";"    31.3";"    32.4";"    31.5";"    39.1";"    23.6";"    33.8";"    19.9";"    78.8";"    20.0";"     8.4";"   153.7";"    90.7";"    47.9";"   211.0";"   112.7";"   189.5";"     4.6"
"2017";"Halderberge";"    12.6";"    43.9";"    24.6";"    34.1";"    44.6";"    62.0";"    49.7";"    66.1";"    31.9";"    52.9";"    26.9";"    30.1";"    24.6";"    23.4";"    32.6";"    33.5";"    32.1";"    41.2";"    25.3";"    35.2";"    20.5";"    86.6";"    21.8";"     9.8";"   167.1";"    95.6";"    57.0";"   239.6";"   121.2";"   201.3";"     4.4"
"2018";"Halderberge";"    12.9";"    44.1";"    24.0";"    35.9";"    44.7";"    64.1";"    50.2";"    68.9";"    30.6";"    53.3";"    26.9";"    29.9";"    24.1";"    24.3";"    32.0";"    34.0";"    32.0";"    42.7";"    24.1";"    34.9";"    20.4";"    93.0";"    22.3";"     8.9";"   182.1";"   105.1";"    61.2";"   235.0";"   136.1";"   213.0";"     4.0"
"2019";"Halderberge";"    13.1";"    46.9";"    24.8";"    37.9";"    48.7";"    68.8";"    52.1";"    81.7";"    31.9";"    57.3";"    27.7";"    31.8";"    24.9";"    25.6";"    34.8";"    36.3";"    33.3";"    50.5";"    25.2";"    37.5";"    21.1";"    99.8";"    23.0";"    12.0";"   195.5";"   116.8";"    68.1";"   257.0";"   143.1";"   224.2";"     3.8"
"2020";"Halderberge";"    13.0";"    48.0";"    26.1";"    39.8";"    48.8";"    70.0";"    55.4";"    73.0";"    33.0";"    57.7";"    29.2";"    32.4";"    26.1";"    26.8";"    34.8";"    36.9";"    35.3";"    45.6";"    25.8";"    37.7";"    22.1";"   114.0";"    30.5";"    15.4";"   207.0";"   127.7";"    85.2";"   274.2";"   152.3";"   238.1";"     5.0"
"2021";"Halderberge";"    13.1";"    50.4";"    27.1";"    41.8";"    50.8";"    74.1";"    58.2";"    76.5";"    34.5";"    60.5";"    30.3";"    34.0";"    27.2";"    28.2";"    36.4";"    39.0";"    37.0";"    47.0";"    27.2";"    39.6";"    23.0";"   143.8";"    34.8";"    24.7";"   235.5";"   160.8";"   115.6";"   316.1";"   171.7";"   269.8";"     6.1"
"2022";"Halderberge";"    13.2";"    53.0";"    28.5";"    44.5";"    53.5";"    78.1";"    61.5";"    79.5";"    35.6";"    63.3";"    32.3";"    35.8";"    28.5";"    30.0";"    38.3";"    41.2";"    39.1";"    49.4";"    28.2";"    41.4";"    24.4";"   197.8";"    46.3";"    29.4";"   292.2";"   226.7";"   170.2";"   393.4";"   221.5";"   333.4";"     6.4"
"2023";"Halderberge";"    13.4";"    56.7";"    30.5";"       .";"    56.7";"    84.2";"    65.7";"       .";"    39.0";"    67.6";"    35.3";"    38.2";"    30.6";"       .";"    40.6";"    44.4";"    41.9";"       .";"    30.6";"    44.2";"    26.7";"   190.6";"    42.9";"    22.3";"   289.6";"   220.5";"   162.5";"   372.5";"   219.7";"   326.7";"     6.4"
"2024";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Halderberge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Halsteren";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Den Ham";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Hardenberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Hardenberg";"    22.6";"    37.3";"    20.3";"    32.3";"    36.4";"    48.8";"    41.3";"    55.0";"    26.4";"    42.7";"    24.1";"    24.5";"    20.3";"    21.6";"    26.6";"    25.6";"    25.5";"    32.9";"    20.8";"    27.0";"    18.5";"    81.0";"    22.3";"    29.2";"   135.4";"    96.1";"    55.2";"   204.9";"   115.1";"   150.8";"     6.7"
"2012";"Hardenberg";"    22.8";"    37.6";"    20.6";"    31.6";"    37.4";"    49.4";"    41.6";"    54.3";"    27.5";"    43.4";"    23.8";"    24.8";"    20.6";"    21.1";"    27.3";"    25.8";"    25.7";"    32.7";"    21.5";"    27.5";"    18.4";"    65.9";"    20.1";"    21.4";"   121.5";"    75.1";"    39.4";"   187.6";"   103.0";"   132.6";"     5.9"
"2013";"Hardenberg";"    23.0";"    37.7";"    20.7";"    31.9";"    37.3";"    49.8";"    42.5";"    54.1";"    26.7";"    43.6";"    23.6";"    24.9";"    20.7";"    21.3";"    27.3";"    26.1";"    26.3";"    32.3";"    21.1";"    27.7";"    18.4";"    49.2";"    17.3";"    11.5";"   103.4";"    51.4";"    22.8";"   166.7";"    86.4";"   109.4";"     5.1"
"2014";"Hardenberg";"    22.8";"    40.0";"    21.6";"    31.7";"    40.1";"    52.7";"    43.9";"    63.2";"    28.6";"    46.3";"    24.2";"    26.4";"    21.6";"    21.4";"    29.3";"    27.6";"    27.2";"    37.5";"    22.4";"    29.5";"    18.7";"    47.6";"    17.8";"    13.6";"   103.4";"    47.3";"    22.0";"   161.7";"    87.1";"   107.6";"     4.6"
"2015";"Hardenberg";"    23.1";"    39.3";"    21.5";"    33.0";"    38.8";"    52.2";"    44.5";"    56.9";"    27.2";"    45.3";"    24.3";"    26.0";"    21.6";"    22.3";"    28.4";"    27.5";"    27.7";"    34.0";"    21.6";"    28.9";"    18.9";"    51.3";"    18.5";"    13.8";"   110.5";"    51.8";"    25.6";"   167.0";"    89.1";"   113.8";"     5.0"
"2016";"Hardenberg";"    23.3";"    41.0";"    22.4";"    34.2";"    40.1";"    55.5";"    46.0";"    63.0";"    28.0";"    47.4";"    25.1";"    27.2";"    22.4";"    23.1";"    29.3";"    29.1";"    28.7";"    37.4";"    22.3";"    30.3";"    19.5";"    59.3";"    19.3";"    15.3";"   121.2";"    61.4";"    34.3";"   200.1";"    98.6";"   124.4";"     4.7"
"2017";"Hardenberg";"    23.6";"    42.5";"    23.0";"    35.1";"    41.4";"    58.5";"    47.2";"    68.2";"    28.9";"    49.4";"    26.0";"    28.2";"    23.0";"    23.7";"    30.3";"    30.7";"    29.4";"    40.5";"    23.1";"    31.5";"    20.1";"    68.2";"    21.2";"    17.1";"   133.7";"    71.7";"    44.1";"   221.0";"   101.7";"   135.5";"     4.8"
"2018";"Hardenberg";"    23.8";"    43.6";"    23.6";"    36.5";"    42.6";"    60.0";"    48.4";"    69.9";"    29.1";"    50.7";"    26.2";"    28.5";"    23.6";"    24.4";"    30.5";"    31.0";"    29.8";"    41.3";"    23.1";"    32.0";"    20.3";"    75.3";"    22.6";"    20.7";"   144.3";"    79.9";"    51.5";"   235.3";"   109.7";"   146.1";"     4.8"
"2019";"Hardenberg";"    24.0";"    46.6";"    24.7";"    39.7";"    45.6";"    65.5";"    50.4";"    82.0";"    30.9";"    54.4";"    27.5";"    30.5";"    24.7";"    26.3";"    32.6";"    33.8";"    31.2";"    48.7";"    24.4";"    34.3";"    21.3";"    83.3";"    25.0";"    20.9";"   153.4";"    88.8";"    58.1";"   243.4";"   121.8";"   155.8";"     4.6"
"2020";"Hardenberg";"    24.2";"    47.4";"    25.3";"    39.8";"    46.0";"    66.9";"    53.0";"    75.9";"    30.8";"    55.2";"    28.0";"    31.0";"    25.3";"    26.4";"    32.9";"    34.5";"    32.8";"    45.2";"    24.4";"    34.8";"    21.8";"    90.6";"    26.4";"    28.4";"   162.7";"    97.8";"    65.7";"   265.4";"   128.3";"   163.9";"     5.0"
"2021";"Hardenberg";"    24.5";"    50.0";"    26.8";"    42.7";"    48.9";"    70.7";"    55.8";"    80.3";"    32.5";"    58.2";"    29.8";"    32.9";"    26.8";"    28.2";"    35.0";"    36.5";"    34.6";"    48.4";"    25.9";"    36.8";"    23.1";"   109.5";"    32.6";"    31.5";"   180.9";"   123.5";"    83.7";"   290.8";"   149.9";"   186.1";"     6.5"
